Complaint,Category,,,,,
"Excuse me, the saving promised in the email is not working.",Promotions,,,,,
"I'm sorry, but i opened the container and the unit was not in the box.",Product Integrity & Accuracy,,,,,
the merchandise stopped working after only one day of use.,Product Integrity & Accuracy,,,,,
"Hello, this offer is very misleading!",Promotions,,,,,
"I'm sorry, but I need a breakdown of the fees on my latest billing history.",Billing & Transaction Problems,,,,,
I'm getting a 500 error when I click the pay button!,Technical Issues,,,,,
I want to exchange my product for a different size.,Refund & Returns,,,,,
the delivery driver was supposed to deliver my request yesterday but it's late.,Delivery,,,,,
The build of this product is very poor compared to the description.,Product Integrity & Accuracy,,,,,
"Excuse me, your terms of service says I have 30 days to exchange this!",Refund & Returns,,,,,
The website keeps bugging out whenever I try to view my cart.,Technical Issues,,,,,
I want to switch my frequency from recurring to annual.,Subscriptions,,,,,
i want to be sent an email when this product is in inventory again.,Inventory,,,,,
The discount promised in the marketing mail is not working.,Promotions,,,,,
I need to modify my delivery location for all future orders.,Account & Profile Management,,,,,
"I'm sorry, but my data usage settings are not working as expected.",Security and Privacy,,,,,
"I haven't received my package yet, although the status says delivered.",Delivery,,,,,
I want to enable two-factor authentication for better safety!,Security and Privacy,,,,,
the software is stuck on the loading screen forever.,Technical Issues,,,,,
"I'm sorry, but I can't place an order because the website is too slow.",Technical Issues,,,,,
there is a technical issue in the application's latest update!,Technical Issues,,,,,
The friend link credit was not added to my membership.,Promotions,,,,,
i am unable to access my bag due to a server error.,Technical Issues,,,,,
The limited offer prices are not showing up in my shopping cart!,Promotions,,,,,
"Hello, the courier was supposed to deliver my purchase yesterday but it's late.",Delivery,,,,,
"Hi, the article I got is out of date and cannot be used.",Product Integrity & Accuracy,,,,,
The postal service was supposed to deliver my transaction yesterday but it's late!,Delivery,,,,,
The item looks nothing like the advertised image on the website.,Product Integrity & Accuracy,,,,,
the availability status changed from ready to unavailable suddenly!,Inventory,,,,,
when will this item be back in the fulfillment center?,Inventory,,,,,
"I'm sorry, but I signed up for the new member reward but never received it.",Promotions,,,,,
I was informed that the article is out of supply after I paid.,Inventory,,,,,
"Hello, The product looks nothing like the picture on the website.",Product Integrity & Accuracy,,,,,
"Hi, I signed up for the new member reward but never received it.",Promotions,,,,,
How do I link my Facebook to my account?,Account & Profile Management,,,,,
i want to remove my membership permanently.,Account & Profile Management,,,,,
Why was I charged for a subscription I already ended?,Subscriptions,,,,,
How do I change my account password?,Security and Privacy,,,,,
"Excuse me, Is this item a limited edition or will more be made?",Inventory,,,,,
the delivery driver was supposed to deliver my order yesterday but it's late.,Delivery,,,,,
the item I got is out of date and cannot be used!,Product Integrity & Accuracy,,,,,
Why is there an extra surcharge on my invoice?,Billing & Transaction Problems,,,,,
"I'm sorry, but the screen times out every time I refresh it.",Technical Issues,,,,,
your return rules says I have 30 days to return this.,Refund & Returns,,,,,
"Excuse me, why is my delivery stuck in local depot?",Delivery,,,,,
I can't view my cart because the site is too slow.,Technical Issues,,,,,
i need to update my delivery location for all future orders!,Account & Profile Management,,,,,
Someone made an unauthorized acquisition using my account.,Security and Privacy,,,,,
"I'm sorry, but The storefront is not private and I am worried about my information.",Security and Privacy,,,,,
Can you check inventory in the other warehouse?,Inventory,,,,,
I haven't received a confirmation for my transaction!,Billing & Transaction Problems,,,,,
"Hi, i want to be notified when this good is in quantity again!",Inventory,,,,,
i want to merge two accounts that I have.,Account & Profile Management,,,,,
i didn't get the bonus with my transaction.,Promotions,,,,,
"Excuse me, i can't change my mobile on the membership settings.",Account & Profile Management,,,,,
part of the bundle is gone from the shipment.,Product Integrity & Accuracy,,,,,
The merchandise was retired right after I bought it.,Inventory,,,,,
"Hi, the subscription cost increased without my permission.",Subscriptions,,,,,
"Excuse me, i requested a reimbursement a week ago and haven't heard back!",Refund & Returns,,,,,
internal server system crash is preventing me from finishing my log in!,Technical Issues,,,,,
"Hi, I want to enable multi-factor authentication for better safety.",Security and Privacy,,,,,
i signed up for the welcome gift but never received it.,Promotions,,,,,
i want to exchange my request for a full refund.,Refund & Returns,,,,,
"Hi, The online shop says in stock but it's actually on backorder.",Inventory,,,,,
My recurring charge is turned off but I was still invoiced.,Subscriptions,,,,,
"Excuse me, Why is there an extra surcharge on my receipt?",Billing & Transaction Problems,,,,,
Why was my personal data shared with a third party without agreement?,Security and Privacy,,,,,
The product stopped working after only one day of use.,Product Integrity & Accuracy,,,,,
i need to modify my shipping address for all future orders.,Account & Profile Management,,,,,
I'm getting a connection error when I click the submit button.,Technical Issues,,,,,
Is there a delay with delivery to my area?,Delivery,,,,,
i'm getting a 404 error when I click the order button.,Technical Issues,,,,,
I need an update on my parcel transit status.,Delivery,,,,,
I keep getting suspicious emails claiming to be from you.,Security and Privacy,,,,,
The product looks nothing like the advertised image on the site.,Product Integrity & Accuracy,,,,,
"Hello, I need a breakdown of the charges on my latest bank statement.",Billing & Transaction Problems,,,,,
"Hello, i want to be alerted when this merchandise is in inventory again.",Inventory,,,,,
the storefront is not displaying images properly.,Technical Issues,,,,,
"Hi, I want to exchange my request for a full reimbursement.",Refund & Returns,,,,,
"Hi, My credit card was charged the wrong amount.",Billing & Transaction Problems,,,,,
My notifs are not saving after I update them!,Account & Profile Management,,,,,
"Excuse me, i see a mystery fee from your site on my bank statement.",Billing & Transaction Problems,,,,,
The material of this item is very poor compared to the description!,Product Integrity & Accuracy,,,,,
i am unable to access my shopping cart due to a server error.,Technical Issues,,,,,
the good stopped working after only one day of use.,Product Integrity & Accuracy,,,,,
"Hello, I haven't received a receipt for my buy.",Billing & Transaction Problems,,,,,
I didn't get the freebie with my order!,Promotions,,,,,
"Excuse me, I cannot find where to adjust my personal details.",Account & Profile Management,,,,,
"Hi, how do I hold my account for a few months?",Subscriptions,,,,,
my payment was rejected but the money was deducted from my bank.,Billing & Transaction Problems,,,,,
the merchandise looks nothing like the advertised image on the storefront!,Product Integrity & Accuracy,,,,,
"Hi, my request delayed and it hasn't arrived yet.",Delivery,,,,,
My transaction was rejected but the money was removed from my bank.,Billing & Transaction Problems,,,,,
i opened the box and the item was missing!,Product Integrity & Accuracy,,,,,
The saving promised in the email is not working.,Promotions,,,,,
my discount code is not applying to my purchase.,Promotions,,,,,
Can I get a free test for your app?,Subscriptions,,,,,
"Hi, the reimbursement amount I received is less than what I paid.",Refund & Returns,,,,,
why is my delivery delayed in local depot?,Delivery,,,,,
my payment was failed but the money was withdrawn from my bank.,Billing & Transaction Problems,,,,,
"Hi, My service plan perks are not working correctly.",Subscriptions,,,,,
This article seems to be a refurbished unit instead of new.,Product Integrity & Accuracy,,,,,
"Hi, My auto-renew is turned off but I was still charged.",Subscriptions,,,,,
"I'm sorry, but My preferences are not saving after I update them.",Account & Profile Management,,,,,
my service plan perks are not working correctly.,Subscriptions,,,,,
I want to obtain a copy of all the data you have on me.,Security and Privacy,,,,,
I need an update on my box transit status.,Delivery,,,,,
"Hi, i want to delete my profile permanently.",Account & Profile Management,,,,,
"Hello, Can I get a refund if the package was never sent?",Refund & Returns,,,,,
"Excuse me, I noticed a login from a warehouse I don't recognize!",Security and Privacy,,,,,
the good was retired right after I bought it.,Inventory,,,,,
My subscription perks are not working correctly.,Subscriptions,,,,,
i want to convert my payment term from monthly to annual.,Subscriptions,,,,,
where is my box? The tracking info says it is warehouse.,Delivery,,,,,
the courier was supposed to deliver my transaction yesterday but it's late!,Delivery,,,,,
the submit button on the cart page is not working.,Technical Issues,,,,,
"Hi, i want to ask for a copy of all the private info you have on me.",Security and Privacy,,,,,
my transaction was rejected but the money was withdrawn from my bank.,Billing & Transaction Problems,,,,,
i want to scale up my tier to the premium level.,Subscriptions,,,,,
I received the wrong size for the unit I ordered!,Product Integrity & Accuracy,,,,,
"Excuse me, How do I hold my access for a few months?",Subscriptions,,,,,
"I'm sorry, but The friend link credit was not added to my account.",Promotions,,,,,
i want to obtain a copy of all the data you have on me.,Security and Privacy,,,,,
i need to recover my credentials immediately.,Security and Privacy,,,,,
I want to use my reward credits for this purchase.,Promotions,,,,,
i haven't received my refund yet for the shipped back item.,Refund & Returns,,,,,
i need a postage label for my parcel!,Refund & Returns,,,,,
I am unable to access my bag due to a server error!,Technical Issues,,,,,
how do I refresh my marketing mail in my profile?,Account & Profile Management,,,,,
the storefront says ready but it's actually on pre-order.,Inventory,,,,,
"Hi, The build of this good is very poor compared to the description.",Product Integrity & Accuracy,,,,,
"the exchange process is too complicated, I need assistance.",Refund & Returns,,,,,
"the return process is too complicated, I need assistance!",Refund & Returns,,,,,
My order delayed and it hasn't arrived yet!,Delivery,,,,,
"Hi, i am unable to access my basket due to a server system crash.",Technical Issues,,,,,
My request stuck and it hasn't arrived yet.,Delivery,,,,,
the status status changed from in stock to unavailable suddenly.,Inventory,,,,,
the product I got is out of date and cannot be used.,Product Integrity & Accuracy,,,,,
my service plan perks are not working correctly!,Subscriptions,,,,,
"Hello, i haven't received a confirmation for my buy.",Billing & Transaction Problems,,,,,
The item looks nothing like the picture on the storefront.,Product Integrity & Accuracy,,,,,
I signed up for the new member reward but never received it.,Promotions,,,,,
"Excuse me, I can't place an order because the online shop is too slow.",Technical Issues,,,,,
"Hi, the page times out every time I refresh it.",Technical Issues,,,,,
The good was retired right after I bought it.,Inventory,,,,,
The referral credit was not added to my profile.,Promotions,,,,,
"the send back process is too complicated, I need assistance!",Refund & Returns,,,,,
"Hello, I want to obtain a copy of all the data you have on me.",Security and Privacy,,,,,
The merchandise is unavailable and I need to know when it will be replenished.,Inventory,,,,,
I want to improve my plan to the VIP level.,Subscriptions,,,,,
the storefront is not private and I am worried about my details!,Security and Privacy,,,,,
"Hello, the refund amount I received is less than what I paid.",Refund & Returns,,,,,
"Hi, I want to be sent an email when this good is in quantity again.",Inventory,,,,,
i need a breakdown of the fees on my latest billing history.,Billing & Transaction Problems,,,,,
the good looks nothing like the advertised image on the website.,Product Integrity & Accuracy,,,,,
"Excuse me, My legal name is spelled incorrectly on my personal info.",Account & Profile Management,,,,,
I need to change my credentials immediately!,Security and Privacy,,,,,
"I'm sorry, but the storefront is not private and I am worried about my data.",Security and Privacy,,,,,
the quality of this good is very poor compared to the description.,Product Integrity & Accuracy,,,,,
"Hello, i signed up for the welcome gift but never received it.",Promotions,,,,,
"The send back process is too complicated, I need assistance.",Refund & Returns,,,,,
this unit seems to be a used unit instead of new!,Product Integrity & Accuracy,,,,,
my notifs are not saving after I update them!,Account & Profile Management,,,,,
"I'm sorry, but The website keeps crashing whenever I try to place an order.",Technical Issues,,,,,
i want to be notified when this item is in quantity again.,Inventory,,,,,
i was invoiced twice for my recent purchase.,Billing & Transaction Problems,,,,,
"i haven't received my package yet, although the delivery update says delivered.",Delivery,,,,,
How do I start a return for a item I don't want?,Refund & Returns,,,,,
i can't place an order because the website is too slow.,Technical Issues,,,,,
"I'm sorry, but There is a glitch in the mobile app's latest update.",Technical Issues,,,,,
The platform is not displaying images properly.,Technical Issues,,,,,
my order postponed and it hasn't arrived yet.,Delivery,,,,,
I want to end my annual subscription.,Subscriptions,,,,,
The build of this merchandise is very poor compared to the description!,Product Integrity & Accuracy,,,,,
"Hello, I didn't get a alert before my re-up charge.",Subscriptions,,,,,
"Hello, This promotion is very misleading.",Promotions,,,,,
the flash sale prices are not showing up in my shopping cart.,Promotions,,,,,
"Excuse me, the currency conversion for my checkout seems incorrect!",Billing & Transaction Problems,,,,,
"Hello, Why was I charged for a membership I already terminated?",Subscriptions,,,,,
There is a glitch in the mobile app's latest update!,Technical Issues,,,,,
"Hi, the merchandise looks nothing like the online photo on the website.",Product Integrity & Accuracy,,,,,
the site says ready but it's actually on pre-order.,Inventory,,,,,
"Hello, The storefront is not displaying product photos properly.",Technical Issues,,,,,
i think my profile has been hacked or leaked.,Security and Privacy,,,,,
"Hello, I want to close my account permanently.",Account & Profile Management,,,,,
This unit seems to be a pre-owned unit instead of new!,Product Integrity & Accuracy,,,,,
internal server failure is preventing me from finishing my place an order.,Technical Issues,,,,,
I am unable to access my bag due to a server failure.,Technical Issues,,,,,
The status status changed from in stock to out of stock suddenly!,Inventory,,,,,
How do I link my Google to my membership?,Account & Profile Management,,,,,
"Excuse me, Can I get a reimbursement if the box was never sent?",Refund & Returns,,,,,
the daily deal prices are not showing up in my basket.,Promotions,,,,,
my preferences are not saving after I update them.,Account & Profile Management,,,,,
There is a glitch in the software's latest update.,Technical Issues,,,,,
My subscription features are not working correctly.,Subscriptions,,,,,
I didn't get a alert before my renewal charge!,Subscriptions,,,,,
I can't log in because the website is too slow.,Technical Issues,,,,,
i want to enable two-factor authentication for better protection.,Security and Privacy,,,,,
I want to send back my request for a full reimbursement!,Refund & Returns,,,,,
i want to enable two-factor authentication for better safety.,Security and Privacy,,,,,
I received a box but the items were missing.,Delivery,,,,,
i want to upgrade my plan to the VIP level.,Subscriptions,,,,,
"Hello, I want to use my loyalty points for this order.",Promotions,,,,,
The website is not secure and I am worried about my information.,Security and Privacy,,,,,
the storefront says ready but it's actually on backorder!,Inventory,,,,,
"Hi, is there a delay with freight to my area?",Delivery,,,,,
The product looks nothing like the advertised image on the online shop.,Product Integrity & Accuracy,,,,,
i opened the packaging and the product was missing.,Product Integrity & Accuracy,,,,,
This product seems to be a used unit instead of new.,Product Integrity & Accuracy,,,,,
"I'm sorry, but I didn't get a alert before my re-up charge!",Subscriptions,,,,,
"I'm sorry, but the item was stopped right after I ordered it.",Inventory,,,,,
"I'm sorry, but i need a breakdown of the costs on my latest account statement.",Billing & Transaction Problems,,,,,
i see a unknown deduction from your site on my bank statement.,Billing & Transaction Problems,,,,,
"Hi, i need to modify my delivery location for all future orders.",Account & Profile Management,,,,,
"I'm sorry, but i received the mismatched size for the item I ordered.",Product Integrity & Accuracy,,,,,
I want to exchange my transaction for a full reimbursement.,Refund & Returns,,,,,
The order button on the cart page is not working!,Technical Issues,,,,,
"I'm sorry, but The invite credit was not added to my profile.",Promotions,,,,,
My coupon is not applying to my request.,Promotions,,,,,
The online shop says available but it's actually on waiting list!,Inventory,,,,,
"Excuse me, The forex conversion for my checkout seems incorrect.",Billing & Transaction Problems,,,,,
i want to remove my profile permanently.,Account & Profile Management,,,,,
the product stopped working after only one day of use.,Product Integrity & Accuracy,,,,,
"Excuse me, why is there an extra extra charge on my receipt?",Billing & Transaction Problems,,,,,
The postal service lost my parcel and I need help.,Delivery,,,,,
I want to stop my annual membership.,Subscriptions,,,,,
When will this unit be back in the warehouse?,Inventory,,,,,
"Hello, My transaction held up and it hasn't arrived yet!",Delivery,,,,,
"Excuse me, The order button on the cart page is not working.",Technical Issues,,,,,
The merchandise looks nothing like the picture on the site!,Product Integrity & Accuracy,,,,,
"I'm sorry, but why is the voucher code old when it should be valid?",Promotions,,,,,
my payment was failed but the money was removed from my bank.,Billing & Transaction Problems,,,,,
"i haven't received my box yet, although the delivery update says delivered.",Delivery,,,,,
I want to change my payment term from annual to annual.,Subscriptions,,,,,
The online shop is not secure and I am worried about my data.,Security and Privacy,,,,,
I need a breakdown of the costs on my latest account statement!,Billing & Transaction Problems,,,,,
I can't place an order because the online shop is too slow!,Technical Issues,,,,,
How do I start a send back for a good I don't want?,Refund & Returns,,,,,
Someone made an unauthorized purchase using my membership.,Security and Privacy,,,,,
my transaction has been out for delivery for three days now!,Delivery,,,,,
My membership perks are not working correctly.,Subscriptions,,,,,
I want to change my payment term from recurring to one-year.,Subscriptions,,,,,
the courier was supposed to deliver my purchase yesterday but it's late.,Delivery,,,,,
"Hi, i haven't received my shipment yet, although the delivery update says delivered.",Delivery,,,,,
i can't modify my phone number on the profile settings!,Account & Profile Management,,,,,
The storefront is not encrypted and I am worried about my details.,Security and Privacy,,,,,
Where is my shipment? The tracking link says it is warehouse!,Delivery,,,,,
"Hi, why is there an extra extra charge on my receipt?",Billing & Transaction Problems,,,,,
How do I start a exchange for a merchandise I don't want?,Refund & Returns,,,,,
"Excuse me, The submit button on the checkout page is not working.",Technical Issues,,,,,
i want to convert my payment term from annual to one-year.,Subscriptions,,,,,
"Hi, i need a breakdown of the costs on my latest bank statement.",Billing & Transaction Problems,,,,,
the unit I got is expired and cannot be used!,Product Integrity & Accuracy,,,,,
I think my account has been hacked or leaked.,Security and Privacy,,,,,
i want to improve my plan to the premium level!,Subscriptions,,,,,
"Hello, I didn't get a notification before my renewal charge.",Subscriptions,,,,,
"Excuse me, i keep getting suspicious emails claiming to be from you.",Security and Privacy,,,,,
can I change my handle on the platform?,Account & Profile Management,,,,,
I think my membership has been stolen or leaked.,Security and Privacy,,,,,
my membership perks are not working correctly!,Subscriptions,,,,,
I need an update on my shipment transit status.,Delivery,,,,,
"Hi, the price reduction promised in the email is not working.",Promotions,,,,,
"Excuse me, Internal server failure is preventing me from finishing my place an order.",Technical Issues,,,,,
"Excuse me, how do I pause my account for a few months?",Subscriptions,,,,,
Is this item a limited edition or will more be manufactured?,Inventory,,,,,
i opened the container and the unit was gone.,Product Integrity & Accuracy,,,,,
part of the kit is not in the box from the parcel.,Product Integrity & Accuracy,,,,,
why is my delivery stuck in transit?,Delivery,,,,,
"Hi, i cannot find where to adjust my personal data.",Account & Profile Management,,,,,
"Hi, The exchange process is too complicated, I need assistance.",Refund & Returns,,,,,
Where is my shipment? The tracking info says it is warehouse.,Delivery,,,,,
I want to remove my membership permanently.,Account & Profile Management,,,,,
your return rules says I have 30 days to exchange this.,Refund & Returns,,,,,
"I'm sorry, but the daily deal prices are not showing up in my basket.",Promotions,,,,,
the saving promised in the email is not working.,Promotions,,,,,
my recurring charge is turned off but I was still charged!,Subscriptions,,,,,
My membership features are not working correctly!,Subscriptions,,,,,
i need a return slip for my shipment.,Refund & Returns,,,,,
My checkout was failed but the money was withdrawn from my bank!,Billing & Transaction Problems,,,,,
Can I change my username on the system?,Account & Profile Management,,,,,
this product seems to be a used unit instead of new.,Product Integrity & Accuracy,,,,,
i can't update my phone number on the membership settings!,Account & Profile Management,,,,,
my legal name is spelled incorrectly on my personal info.,Account & Profile Management,,,,,
When will this article be back in the stockroom?,Inventory,,,,,
"Hello, I want to change my payment term from monthly to one-year.",Subscriptions,,,,,
The subscription price increased without my consent.,Subscriptions,,,,,
"Hello, this offer is very misleading.",Promotions,,,,,
I want to obtain a copy of all the private info you have on me.,Security and Privacy,,,,,
my subscription features are not working correctly.,Subscriptions,,,,,
"Hi, The exchange rate conversion for my checkout seems incorrect.",Billing & Transaction Problems,,,,,
My credit card was charged the wrong amount.,Billing & Transaction Problems,,,,,
Can I get a money back if the shipment was never sent?,Refund & Returns,,,,,
why was my private info shared with a third party without agreement?,Security and Privacy,,,,,
I was billed twice for my recent order.,Billing & Transaction Problems,,,,,
"Hi, I requested a refund a week ago and haven't heard back.",Refund & Returns,,,,,
I need to change my home address for all future orders.,Account & Profile Management,,,,,
I can't change my mobile on the membership settings.,Account & Profile Management,,,,,
The site says ready but it's actually on pre-order.,Inventory,,,,,
how do I edit my email in my profile?,Account & Profile Management,,,,,
"Hi, i want to send back my request for a full money back.",Refund & Returns,,,,,
i want to enable multi-factor authentication for better protection.,Security and Privacy,,,,,
"I'm sorry, but This product seems to be a pre-owned unit instead of new.",Product Integrity & Accuracy,,,,,
i can't log in because the website is too slow.,Technical Issues,,,,,
Why is the code code expired when it should be valid?,Promotions,,,,,
I noticed a access from a transit I don't recognize.,Security and Privacy,,,,,
tracking number #992211 is not updating for my request.,Delivery,,,,,
"I'm sorry, but The online shop is not private and I am worried about my information.",Security and Privacy,,,,,
i want to enable 2FA authentication for better protection!,Security and Privacy,,,,,
"Excuse me, Can I change my handle on the system?",Account & Profile Management,,,,,
"Hello, my credit card was charged the wrong amount.",Billing & Transaction Problems,,,,,
my request delayed and it hasn't arrived yet.,Delivery,,,,,
The referral credit was not added to my profile!,Promotions,,,,,
The device I bought won't turn on.,Product Integrity & Accuracy,,,,,
"Excuse me, I see a unknown deduction from your site on my bank statement.",Billing & Transaction Problems,,,,,
The total amount at checkout didn't match the total amount on the product page!,Billing & Transaction Problems,,,,,
I want to close my membership permanently.,Account & Profile Management,,,,,
someone made an unauthorized acquisition using my membership.,Security and Privacy,,,,,
How do I start a exchange for a product I don't want?,Refund & Returns,,,,,
i want to return my transaction for a full money back.,Refund & Returns,,,,,
I received the mismatched size for the product I ordered.,Product Integrity & Accuracy,,,,,
can I change my username on the platform?,Account & Profile Management,,,,,
When will this item be back in the fulfillment center?,Inventory,,,,,
can you check inventory in the nearby warehouse?,Inventory,,,,,
"Excuse me, the status status changed from available to gone suddenly.",Inventory,,,,,
"Excuse me, I think my profile has been stolen or compromised.",Security and Privacy,,,,,
"Hi, I need to change my shipping address for all future orders.",Account & Profile Management,,,,,
"Hello, I want to exchange my merchandise for a different size!",Refund & Returns,,,,,
i need to update my home address for all future orders.,Account & Profile Management,,,,,
How do I link my Facebook to my membership?,Account & Profile Management,,,,,
Why is the inventory count mismatched on the screen?,Inventory,,,,,
can you check quantity in the different warehouse?,Inventory,,,,,
When will this product be back in the fulfillment center?,Inventory,,,,,
How do I pause my account for a few months?,Subscriptions,,,,,
Why is the stock count incorrect on the page?,Inventory,,,,,
"Excuse me, the send back process is too complicated, I need assistance.",Refund & Returns,,,,,
"Excuse me, the subscription price increased without my consent.",Subscriptions,,,,,
The product is unavailable and I need to know when it will be restocked.,Inventory,,,,,
i haven't received my money back yet for the returned item.,Refund & Returns,,,,,
the merchandise looks nothing like the advertised image on the storefront.,Product Integrity & Accuracy,,,,,
i signed up for the new member reward but never received it.,Promotions,,,,,
"Excuse me, I want to upgrade my tier to the premium level!",Subscriptions,,,,,
"Hello, Why is the voucher code old when it should be valid?",Promotions,,,,,
The application is stuck on the processing screen forever.,Technical Issues,,,,,
"Hi, the pay button on the checkout page is not working.",Technical Issues,,,,,
why is the stock count incorrect on the page?,Inventory,,,,,
"Hello, my payment method was charged the wrong amount.",Billing & Transaction Problems,,,,,
the storefront says ready but it's actually on waiting list!,Inventory,,,,,
how do I start a exchange for a merchandise I don't want?,Refund & Returns,,,,,
i see a mystery fee from your site on my bank statement.,Billing & Transaction Problems,,,,,
How do I refresh my email in my profile?,Account & Profile Management,,,,,
The status status changed from ready to gone suddenly.,Inventory,,,,,
"Hello, i think my profile has been stolen or breached.",Security and Privacy,,,,,
why is the inventory count incorrect on the UI?,Inventory,,,,,
I am unable to access my basket due to a server failure.,Technical Issues,,,,,
The storefront keeps crashing whenever I try to log in.,Technical Issues,,,,,
the refund amount I received is less than what I paid!,Refund & Returns,,,,,
"I'm sorry, but My auto-renew is turned off but I was still billed.",Subscriptions,,,,,
"I'm sorry, but I want to exchange my good for a different size!",Refund & Returns,,,,,
"Hi, I need a postage label for my box!",Refund & Returns,,,,,
Internal server error is preventing me from finishing my view my cart.,Technical Issues,,,,,
i haven't received a payment proof for my transaction.,Billing & Transaction Problems,,,,,
Can you apply this price reduction manually to my transaction?,Promotions,,,,,
I cannot find where to edit my personal details.,Account & Profile Management,,,,,
Why is my mailing postponed in sorting center?,Delivery,,,,,
is this product a limited edition or will more be manufactured?,Inventory,,,,,
Can you apply this saving manually to my buy?,Promotions,,,,,
"Excuse me, I haven't received my refund yet for the shipped back item.",Refund & Returns,,,,,
Tracking number ID #8822 is not updating for my request.,Delivery,,,,,
i need to update my shipping address for all future orders.,Account & Profile Management,,,,,
"I'm sorry, but i need to modify my delivery location for all future orders.",Account & Profile Management,,,,,
the price reduction promised in the marketing mail is not working.,Promotions,,,,,
i think my account has been compromised or leaked.,Security and Privacy,,,,,
the currency conversion for my transaction seems incorrect!,Billing & Transaction Problems,,,,,
"Excuse me, The storefront is not displaying thumbnails properly.",Technical Issues,,,,,
I need a return slip for my shipment.,Refund & Returns,,,,,
the status status changed from available to out of stock suddenly.,Inventory,,,,,
i was charged twice for my recent order!,Billing & Transaction Problems,,,,,
the mobile app is stuck on the loading screen forever.,Technical Issues,,,,,
i haven't received a receipt for my buy.,Billing & Transaction Problems,,,,,
I want to end my recurring membership!,Subscriptions,,,,,
i haven't received a payment proof for my payment!,Billing & Transaction Problems,,,,,
i didn't get a notice before my re-up charge!,Subscriptions,,,,,
Where is my box? The delivery tracking says it is warehouse.,Delivery,,,,,
why was I billed for a service plan I already ended?,Subscriptions,,,,,
"Hello, can I get a money back if the box was never sent?",Refund & Returns,,,,,
i haven't received a payment proof for my buy!,Billing & Transaction Problems,,,,,
"I'm sorry, but how do I edit my marketing mail in my profile?",Account & Profile Management,,,,,
"Excuse me, the storefront is not private and I am worried about my information.",Security and Privacy,,,,,
the storefront says in stock but it's actually on pre-order.,Inventory,,,,,
