Complaint,Category,Urgency,target
The courier lost my order — I need a replacement ASAP. please fix this ASAP,Order Tracking,High,Order Tracking | High
The discount code I got by email doesn’t work on any items. and I don't know what to do next,Promotions,High,Promotions | High
"I used a valid code and it applied, but was later removed. and I don't know what to do next",Promotions,Low,Promotions | Low
"The box arrived empty, just packing materials. even after multiple attempts",Order Issues,High,Order Issues | High
There are defects in the stitching of this garment. even after multiple attempts,Product Issues,High,Product Issues | High
You promised a refund 10 days ago — still nothing in my account. — this is very frustrating,Refunds,Medium,Refunds | Medium
"Tracking says delivered, but nothing is at my door. despite following all instructions",Order Tracking,High,Order Tracking | High
App is extremely slow today. despite following all instructions,Technical Issues,High,Technical Issues | High
Duplicate orders were placed by mistake and I can't cancel. even after multiple attempts,Order Issues,Immediate,Order Issues | Immediate
You sent me a tracking number that doesn’t exist. even after multiple attempts,Order Tracking,Medium,Order Tracking | Medium
"Tracking says delivered, but nothing is at my door. and it's really disappointing",Order Tracking,Immediate,Order Tracking | Immediate
Error message keeps popping up during login. and I need help urgently,Technical Issues,High,Technical Issues | High
You refunded the wrong amount. even after multiple attempts,Refunds,Medium,Refunds | Medium
Everything came except the most expensive item I paid for. please fix this ASAP,Order Issues,Medium,Order Issues | Medium
My order shows 'fulfilled' but I never received it. please fix this ASAP,Order Issues,High,Order Issues | High
The app froze during checkout and now my cart is empty. despite following all instructions,Technical Issues,High,Technical Issues | High
Billing and shipping addresses keep getting swapped. please fix this ASAP,Account & Shipping,High,Account & Shipping | High
"The box arrived empty, just packing materials. and I need help urgently",Order Issues,High,Order Issues | High
It has a foul odor like chemicals. even after multiple attempts,Product Issues,High,Product Issues | High
I didn’t approve this transaction. despite following all instructions,Payments,Low,Payments | Low
Billing and shipping addresses keep getting swapped. which is unacceptable,Account & Shipping,High,Account & Shipping | High
My tracking shows 'label created' for 5 days with no movement. — this is very frustrating,Order Tracking,Immediate,Order Tracking | Immediate
It says 'Buy 1 Get 1 Free' but I was charged for both items. and it's really disappointing,Promotions,Medium,Promotions | Medium
I can’t change my shipping method after ordering. even after multiple attempts,Account & Shipping,Immediate,Account & Shipping | Immediate
The zipper broke the first time I used the bag. and I don't know what to do next,Product Issues,Low,Product Issues | Low
The discount code I got by email doesn’t work on any items. and it's really disappointing,Promotions,Medium,Promotions | Medium
Search results don’t load anything anymore. despite following all instructions,Technical Issues,Immediate,Technical Issues | Immediate
"Referral code said $10 off, but it did nothing. which is unacceptable",Promotions,High,Promotions | High
I received store credit instead of a cash refund I requested. please fix this ASAP,Refunds,High,Refunds | High
I want a refund but there's no option in the return menu. which is unacceptable,Refunds,High,Refunds | High
I didn’t approve this transaction. and there's no explanation anywhere,Payments,Immediate,Payments | Immediate
Wrong items delivered — not even close to what I ordered. and I need help urgently,Order Issues,Low,Order Issues | Low
It shipped to the wrong apartment. and there's no explanation anywhere,Account & Shipping,Immediate,Account & Shipping | Immediate
Instructions were unclear and impossible to follow. which is unacceptable,Product Issues,Low,Product Issues | Low
I updated my address but order still went to the old one. and I need help urgently,Account & Shipping,Medium,Account & Shipping | Medium
I want a refund but there's no option in the return menu. and I need help urgently,Refunds,Medium,Refunds | Medium
Shipping info shows a state I don’t live in. which is unacceptable,Account & Shipping,Immediate,Account & Shipping | Immediate
Missing accessories from the package.,Product Issues,Immediate,Product Issues | Immediate
The courier lost my order — I need a replacement ASAP. and it's really disappointing,Order Tracking,Medium,Order Tracking | Medium
I never got tracking info in the first place. despite following all instructions,Order Tracking,Low,Order Tracking | Low
Still waiting for confirmation that my refund is being processed. which is unacceptable,Refunds,Medium,Refunds | Medium
Used Apple Pay — no order confirmation received. and I don't know what to do next,Payments,Immediate,Payments | Immediate
My loyalty points are missing even after multiple purchases. and there's no explanation anywhere,Promotions,Low,Promotions | Low
"Tracking says delivered, but nothing is at my door. — this is very frustrating",Order Tracking,Immediate,Order Tracking | Immediate
Your support team said I’d get refunded — it's been a week. which is unacceptable,Refunds,Immediate,Refunds | Immediate
Only part of my order arrived — the rest is missing. and it's really disappointing,Order Issues,Medium,Order Issues | Medium
Duplicate orders were placed by mistake and I can't cancel. please fix this ASAP,Order Issues,Immediate,Order Issues | Immediate
Can’t apply filters while browsing products. even after multiple attempts,Technical Issues,High,Technical Issues | High
Flash sale prices aren’t reflected during checkout. please fix this ASAP,Promotions,Immediate,Promotions | Immediate
"Bank says payment went through, you say it didn’t. and I need help urgently",Payments,Low,Payments | Low
"Referral code said $10 off, but it did nothing. and there's no explanation anywhere",Promotions,Immediate,Promotions | Immediate
Wrong items delivered — not even close to what I ordered. please fix this ASAP,Order Issues,High,Order Issues | High
Your support team said I’d get refunded — it's been a week. and it's really disappointing,Refunds,Low,Refunds | Low
Shipping info shows a state I don’t live in. — this is very frustrating,Account & Shipping,Medium,Account & Shipping | Medium
Missing accessories from the package. and it's really disappointing,Product Issues,Immediate,Product Issues | Immediate
Flash sale prices aren’t reflected during checkout. and I don't know what to do next,Promotions,Medium,Promotions | Medium
I was charged twice for the same item. and I don't know what to do next,Payments,Low,Payments | Low
App is extremely slow today. even after multiple attempts,Technical Issues,Low,Technical Issues | Low
One side of the headphones doesn't work. despite following all instructions,Product Issues,High,Product Issues | High
"Referral code said $10 off, but it did nothing. — this is very frustrating",Promotions,Immediate,Promotions | Immediate
Transaction failed but my card got debited anyway. please fix this ASAP,Payments,Immediate,Payments | Immediate
The app froze during checkout and now my cart is empty. and I need help urgently,Technical Issues,Low,Technical Issues | Low
Wrong items delivered — not even close to what I ordered. and it's really disappointing,Order Issues,Immediate,Order Issues | Immediate
It looks like a returned item — packaging was already opened. even after multiple attempts,Product Issues,Medium,Product Issues | Medium
Can’t reset my password — reset link doesn’t work. please fix this ASAP,Account & Shipping,Low,Account & Shipping | Low
My order shows 'fulfilled' but I never received it. even after multiple attempts,Order Issues,High,Order Issues | High
"The box arrived empty, just packing materials. and I don't know what to do next",Order Issues,Immediate,Order Issues | Immediate
There’s a mystery fee added to my final bill. even after multiple attempts,Payments,Low,Payments | Low
There’s a mystery fee added to my final bill. and it's really disappointing,Payments,Medium,Payments | Medium
The item arrived broken and unusable. — this is very frustrating,Product Issues,Immediate,Product Issues | Immediate
I received store credit instead of a cash refund I requested. which is unacceptable,Refunds,High,Refunds | High
Only part of my order arrived — the rest is missing. — this is very frustrating,Order Issues,Immediate,Order Issues | Immediate
It looks like a returned item — packaging was already opened. despite following all instructions,Product Issues,Immediate,Product Issues | Immediate
I paid for express delivery and it’s still not shipped. and it's really disappointing,Order Tracking,Low,Order Tracking | Low
My tracking shows 'label created' for 5 days with no movement. even after multiple attempts,Order Tracking,Medium,Order Tracking | Medium
I can’t change my shipping method after ordering. and it's really disappointing,Account & Shipping,Immediate,Account & Shipping | Immediate
It keeps saying my email is invalid. — this is very frustrating,Account & Shipping,Low,Account & Shipping | Low
I clicked on a 15% off ad and it vanished at checkout. — this is very frustrating,Promotions,Immediate,Promotions | Immediate
Why was one of my items refunded without asking? and it's really disappointing,Order Issues,Immediate,Order Issues | Immediate
I got charged but no confirmation email came through. and I don't know what to do next,Order Issues,Low,Order Issues | Low
The colors in the product photos are completely misleading. please fix this ASAP,Product Issues,Immediate,Product Issues | Immediate
Everything came except the most expensive item I paid for. and it's really disappointing,Order Issues,Medium,Order Issues | Medium
I updated my address but order still went to the old one. — this is very frustrating,Account & Shipping,High,Account & Shipping | High
Search results don’t load anything anymore. and it's really disappointing,Technical Issues,Medium,Technical Issues | Medium
Everything came except the most expensive item I paid for. and there's no explanation anywhere,Order Issues,High,Order Issues | High
The discount code I got by email doesn’t work on any items. despite following all instructions,Promotions,Low,Promotions | Low
My order shows 'fulfilled' but I never received it. which is unacceptable,Order Issues,Medium,Order Issues | Medium
The site accepted my payment but shows no order. despite following all instructions,Payments,Low,Payments | Low
I didn’t approve this transaction. which is unacceptable,Payments,Low,Payments | Low
Your system rejected my student discount for no reason. and I need help urgently,Promotions,Low,Promotions | Low
Can’t reset my password — reset link doesn’t work. even after multiple attempts,Account & Shipping,Low,Account & Shipping | Low
Why was a restocking fee deducted from my refund? and I need help urgently,Refunds,High,Refunds | High
The site accepted my payment but shows no order. and there's no explanation anywhere,Payments,Immediate,Payments | Immediate
The zipper broke the first time I used the bag. despite following all instructions,Product Issues,High,Product Issues | High
"I used a valid code and it applied, but was later removed. despite following all instructions",Promotions,High,Promotions | High
My tracking shows 'label created' for 5 days with no movement. and it's really disappointing,Order Tracking,Immediate,Order Tracking | Immediate
The shipping company marked it as delivered to the wrong city. even after multiple attempts,Order Tracking,High,Order Tracking | High
One side of the headphones doesn't work. and I don't know what to do next,Product Issues,High,Product Issues | High
I returned everything and only got a partial refund. despite following all instructions,Refunds,Low,Refunds | Low
This isn't what I ordered — it’s the wrong model. despite following all instructions,Product Issues,Medium,Product Issues | Medium
I paid for express delivery and it’s still not shipped. which is unacceptable,Order Tracking,Low,Order Tracking | Low
It has a foul odor like chemicals. and I don't know what to do next,Product Issues,High,Product Issues | High
I never received the promised sign-up bonus. despite following all instructions,Promotions,Low,Promotions | Low
The shipping company marked it as delivered to the wrong city. and I don't know what to do next,Order Tracking,High,Order Tracking | High
"You're advertising free shipping, but I'm being charged for it. and I need help urgently",Promotions,Low,Promotions | Low
Package was rerouted without telling me. which is unacceptable,Order Tracking,Low,Order Tracking | Low
Why was one of my items refunded without asking? — this is very frustrating,Order Issues,Medium,Order Issues | Medium
Your system rejected my student discount for no reason. despite following all instructions,Promotions,Low,Promotions | Low
"The return was delivered, but no refund yet. and it's really disappointing",Refunds,High,Refunds | High
Can’t apply filters while browsing products.,Technical Issues,Low,Technical Issues | Low
I never got tracking info in the first place. which is unacceptable,Order Tracking,Immediate,Order Tracking | Immediate
I never got tracking info in the first place.,Order Tracking,Medium,Order Tracking | Medium
Why do I need to re-verify my ID again? — this is very frustrating,Account & Shipping,Immediate,Account & Shipping | Immediate
It has a foul odor like chemicals. despite following all instructions,Product Issues,High,Product Issues | High
It has a foul odor like chemicals. and there's no explanation anywhere,Product Issues,Low,Product Issues | Low
"The box arrived empty, just packing materials. which is unacceptable",Order Issues,Medium,Order Issues | Medium
I received store credit instead of a cash refund I requested. and there's no explanation anywhere,Refunds,Immediate,Refunds | Immediate
Error message keeps popping up during login. and there's no explanation anywhere,Technical Issues,Immediate,Technical Issues | Immediate
Instructions were unclear and impossible to follow.,Product Issues,Low,Product Issues | Low
There are defects in the stitching of this garment. and there's no explanation anywhere,Product Issues,Immediate,Product Issues | Immediate
"The return was delivered, but no refund yet. — this is very frustrating",Refunds,Low,Refunds | Low
System declined my payment without any reason. and I need help urgently,Payments,Immediate,Payments | Immediate
Site logs me out randomly. despite following all instructions,Technical Issues,High,Technical Issues | High
The item arrived broken and unusable. despite following all instructions,Product Issues,High,Product Issues | High
I clicked on a 15% off ad and it vanished at checkout. and I need help urgently,Promotions,Immediate,Promotions | Immediate
Missing accessories from the package. and there's no explanation anywhere,Product Issues,Low,Product Issues | Low
The zipper broke the first time I used the bag. even after multiple attempts,Product Issues,Medium,Product Issues | Medium
The site accepted my payment but shows no order. — this is very frustrating,Payments,Low,Payments | Low
Error message keeps popping up during login. which is unacceptable,Technical Issues,Low,Technical Issues | Low
Can’t apply filters while browsing products. — this is very frustrating,Technical Issues,Low,Technical Issues | Low
My entire order was canceled without explanation. and I don't know what to do next,Order Issues,Immediate,Order Issues | Immediate
The zipper broke the first time I used the bag. and I need help urgently,Product Issues,Medium,Product Issues | Medium
I returned everything and only got a partial refund. please fix this ASAP,Refunds,Medium,Refunds | Medium
Items in the box were clearly tossed around and damaged. and it's really disappointing,Order Issues,Low,Order Issues | Low
"You're advertising free shipping, but I'm being charged for it. which is unacceptable",Promotions,Low,Promotions | Low
Can’t apply filters while browsing products. please fix this ASAP,Technical Issues,High,Technical Issues | High
Website crashes every time I add to cart. and I need help urgently,Technical Issues,Medium,Technical Issues | Medium
Items in the box were clearly tossed around and damaged.,Order Issues,Medium,Order Issues | Medium
It keeps saying my email is invalid. despite following all instructions,Account & Shipping,High,Account & Shipping | High
I returned everything and only got a partial refund. and I need help urgently,Refunds,Medium,Refunds | Medium
There’s a mystery fee added to my final bill. and I need help urgently,Payments,Immediate,Payments | Immediate
Site logs me out randomly. even after multiple attempts,Technical Issues,High,Technical Issues | High
I never got tracking info in the first place. and it's really disappointing,Order Tracking,High,Order Tracking | High
You promised a refund 10 days ago — still nothing in my account. and it's really disappointing,Refunds,High,Refunds | High
Search results don’t load anything anymore.,Technical Issues,High,Technical Issues | High
"I used a valid code and it applied, but was later removed. even after multiple attempts",Promotions,Low,Promotions | Low
My entire order was canceled without explanation. please fix this ASAP,Order Issues,Low,Order Issues | Low
I can’t change my shipping method after ordering. and there's no explanation anywhere,Account & Shipping,Immediate,Account & Shipping | Immediate
Site logs me out randomly. and I need help urgently,Technical Issues,High,Technical Issues | High
Account suddenly locked for no reason. and I don't know what to do next,Account & Shipping,High,Account & Shipping | High
Checkout button is unresponsive.,Technical Issues,Medium,Technical Issues | Medium
Account suddenly locked for no reason. which is unacceptable,Account & Shipping,High,Account & Shipping | High
Only part of my order arrived — the rest is missing. which is unacceptable,Order Issues,High,Order Issues | High
"The box arrived empty, just packing materials. and it's really disappointing",Order Issues,Medium,Order Issues | Medium
You refunded the wrong amount. despite following all instructions,Refunds,Immediate,Refunds | Immediate
My tracking shows 'label created' for 5 days with no movement. and there's no explanation anywhere,Order Tracking,Medium,Order Tracking | Medium
My entire order was canceled without explanation. and it's really disappointing,Order Issues,Low,Order Issues | Low
Account suddenly locked for no reason. please fix this ASAP,Account & Shipping,High,Account & Shipping | High
I never received the promised sign-up bonus. please fix this ASAP,Promotions,Medium,Promotions | Medium
I can’t add a new address — button does nothing. — this is very frustrating,Account & Shipping,Low,Account & Shipping | Low
Error message keeps popping up during login. — this is very frustrating,Technical Issues,Immediate,Technical Issues | Immediate
Can’t apply filters while browsing products. and I don't know what to do next,Technical Issues,Medium,Technical Issues | Medium
I didn’t approve this transaction. please fix this ASAP,Payments,Medium,Payments | Medium
I was charged twice for the same item. despite following all instructions,Payments,Immediate,Payments | Immediate
Can’t reset my password — reset link doesn’t work. and I don't know what to do next,Account & Shipping,Immediate,Account & Shipping | Immediate
One side of the headphones doesn't work. please fix this ASAP,Product Issues,Immediate,Product Issues | Immediate
"I used a valid code and it applied, but was later removed. please fix this ASAP",Promotions,Medium,Promotions | Medium
Credit card charged twice for single order,Payments,Immediate,Payments | Immediate
Payment declined despite sufficient funds,Payments,High,Payments | High
Refund processed but not received after 14 days,Payments,Medium,Payments | Medium
Bank shows pending charge but no order confirmation,Payments,Immediate,Payments | Immediate
Recurring subscription charged after cancellation,Payments,High,Payments | High
Currency conversion fee higher than advertised,Payments,Medium,Payments | Medium
PayPal payment failed but amount deducted from account,Payments,Immediate,Payments | Immediate
Partial refund missing from credit card statement,Payments,Medium,Payments | Medium
Saved payment method charged instead of new card,Payments,High,Payments | High
Duplicate authorization holds on debit card,Payments,Immediate,Payments | Immediate
Checkout shows 'payment successful' but order not created,Payments,High,Payments | High
International transaction declined without reason,Payments,Medium,Payments | Medium
Gift card balance shows zero after purchase,Payments,Immediate,Payments | Immediate
Payment processor added unexpected service fee,Payments,High,Payments | High
Credit card fraud alert triggered incorrectly,Payments,Medium,Payments | Medium
ACH transfer reversed without notification,Payments,Immediate,Payments | Immediate
Wallet balance not applied during checkout,Payments,High,Payments | High
Payment method removed from account without consent,Payments,Medium,Payments | Medium
Dynamic currency conversion rate was unfair,Payments,Immediate,Payments | Immediate
Split payment option failed mid-transaction,Payments,High,Payments | High
Declined card works on other websites,Payments,Medium,Payments | Medium
Recurring payment date changed without notice,Payments,Immediate,Payments | Immediate
Refund issued to wrong payment method,Payments,High,Payments | High
3D Secure verification failed repeatedly,Payments,Medium,Payments | Medium
Payment gateway timeout caused duplicate charge,Payments,Immediate,Payments | Immediate
Bank chargeback incorrectly denied,Payments,High,Payments | High
Stored card information expired but still charged,Payments,Medium,Payments | Medium
Mobile payment app scan failed at checkout,Payments,Immediate,Payments | Immediate
Partial capture of authorized amount missing,Payments,High,Payments | High
Payment processor held funds for 30+ days,Payments,Medium,Payments | Medium
Checkout auto-selected premium payment method,Payments,Immediate,Payments | Immediate
Family account shared payment without approval,Payments,High,Payments | High
Currency fluctuation made final charge higher,Payments,Medium,Payments | Medium
Payment confirmation email never arrived,Payments,Immediate,Payments | Immediate
Virtual terminal transaction disappeared,Payments,High,Payments | High
Payment method limit reached incorrectly,Payments,Medium,Payments | Medium
Pre-authorized charge never finalized,Payments,Immediate,Payments | Immediate
Cross-border fee not disclosed during checkout,Payments,High,Payments | High
Payment plan installment failed automatically,Payments,Medium,Payments | Medium
Digital wallet payment showed error but went through,Payments,Immediate,Payments | Immediate
Charge appeared in wrong currency,Payments,High,Payments | High
Payment processor account suddenly suspended,Payments,Medium,Payments | Medium
Recurring payment amount increased secretly,Payments,Immediate,Payments | Immediate
One-click checkout charged wrong card,Payments,High,Payments | High
Payment dispute evidence submission failed,Payments,Medium,Payments | Medium
Bank blocked legitimate e-commerce transaction,Payments,Immediate,Payments | Immediate
Payment method verification charge not refunded,Payments,High,Payments | High
Checkout showed different amount than charged,Payments,Medium,Payments | Medium
Payment link expired before completion,Payments,Immediate,Payments | Immediate
Subscription payment skipped billing cycle,Payments,High,Payments | High
Payment processor changed exchange rate unfairly,Payments,Medium,Payments | Medium
Digital payment receipt contains errors,Payments,Immediate,Payments | Immediate
Auto-pay attempted after cancellation,Payments,High,Payments | High
Payment method country restriction not stated,Payments,Medium,Payments | Medium
Charge appeared under different merchant name,Payments,Immediate,Payments | Immediate
Payment authorization held too long,Payments,High,Payments | High
Partial payment option disappeared at checkout,Payments,Medium,Payments | Medium
Payment failure message didn't explain reason,Payments,Immediate,Payments | Immediate
Recurring payment interval changed secretly,Payments,High,Payments | High
Payment processor account access suddenly lost,Payments,Medium,Payments | Medium
Checkout forced currency conversion unnecessarily,Payments,Immediate,Payments | Immediate
Payment method update didn't save properly,Payments,High,Payments | High
Bank charged international fee despite local vendor,Payments,Medium,Payments | Medium
Payment retry system created duplicate orders,Payments,Immediate,Payments | Immediate
Refund receipt shows wrong amount,Payments,High,Payments | High
Payment processor limited account without cause,Payments,Medium,Payments | Medium
Virtual credit card declined without reason,Payments,Immediate,Payments | Immediate
Payment agreement terms changed retroactively,Payments,High,Payments | High
Checkout didn't honor payment method discount,Payments,Medium,Payments | Medium
Payment verification step never completed,Payments,Immediate,Payments | Immediate
Recurring payment failed but service continues,Payments,High,Payments | High
Payment processor froze funds during dispute,Payments,Medium,Payments | Medium
Bank statement shows unclear merchant descriptor,Payments,Immediate,Payments | Immediate
Payment method removed after failed attempt,Payments,High,Payments | High
Partial refund calculation was incorrect,Payments,Medium,Payments | Medium
Payment authorization expired too quickly,Payments,Immediate,Payments | Immediate
Digital payment app showed success but failed,Payments,High,Payments | High
Payment processor rejected valid ID verification,Payments,Medium,Payments | Medium
Charge appeared from unknown subsidiary,Payments,Immediate,Payments | Immediate
Payment plan terms changed without consent,Payments,High,Payments | High
Checkout page displayed wrong payment options,Payments,Medium,Payments | Medium
Payment failure due to address mismatch,Payments,Immediate,Payments | Immediate
Recurring payment reminder never sent,Payments,High,Payments | High
Payment processor applied wrong tax jurisdiction,Payments,Medium,Payments | Medium
Bank reversed legitimate e-commerce payment,Payments,Immediate,Payments | Immediate
Payment method icon showed incorrectly,Payments,High,Payments | High
Refund status shows complete but money missing,Payments,Medium,Payments | Medium
Payment gateway connection failed repeatedly,Payments,Immediate,Payments | Immediate
Subscription payment method update didn't save,Payments,High,Payments | High
Payment processor charged incorrect conversion,Payments,Medium,Payments | Medium
Checkout forced payment method registration,Payments,Immediate,Payments | Immediate
Payment authorization disappeared from history,Payments,High,Payments | High
Bank charged cash advance fee incorrectly,Payments,Medium,Payments | Medium
Payment retry caused overdraft fee,Payments,Immediate,Payments | Immediate
Refund to original payment method not possible,Payments,High,Payments | High
Payment processor demanded unnecessary KYC,Payments,Medium,Payments | Medium
Virtual terminal transaction lacked details,Payments,Immediate,Payments | Immediate
Payment plan auto-changed to higher amount,Payments,High,Payments | High
Checkout didn't show payment processor fees,Payments,Medium,Payments | Medium
Payment method country verification failed,Payments,Immediate,Payments | Immediate
Tracking shows 'delivered' but nothing received,Order Tracking,Immediate,Order Tracking | Immediate
No tracking number provided after 5 business days,Order Tracking,High,Order Tracking | High
Tracking stuck on 'label created' for 1 week,Order Tracking,Medium,Order Tracking | Medium
Carrier website says 'invalid tracking number',Order Tracking,High,Order Tracking | High
Package marked delivered to wrong city/state,Order Tracking,Immediate,Order Tracking | Immediate
Tracking status hasn't updated in 10+ days,Order Tracking,Medium,Order Tracking | Medium
Received someone else's tracking number,Order Tracking,High,Order Tracking | High
Multiple items show same tracking number,Order Tracking,Immediate,Order Tracking | Immediate
Tracking shows 'return to sender' without reason,Order Tracking,High,Order Tracking | High
Delivery date changed 5 times in system,Order Tracking,Medium,Order Tracking | Medium
Tracking link goes to wrong carrier website,Order Tracking,Low,Order Tracking | Low
International package stuck at customs without updates,Order Tracking,High,Order Tracking | High
Tracking shows 'delivery attempted' but no notice left,Order Tracking,Medium,Order Tracking | Medium
Order marked 'shipped' but carrier hasn't received it,Order Tracking,High,Order Tracking | High
Two tracking numbers for same order show different statuses,Order Tracking,Immediate,Order Tracking | Immediate
Tracking shows 'out for delivery' for 3 days,Order Tracking,Medium,Order Tracking | Medium
Customer received package but tracking shows 'pending',Order Tracking,High,Order Tracking | High
Tracking number from merchant doesn't work with carrier,Order Tracking,Immediate,Order Tracking | Immediate
Package scanned at wrong distribution center,Order Tracking,Medium,Order Tracking | Medium
Delivery exception noted but no explanation,Order Tracking,High,Order Tracking | High
Tracking shows 'in transit' for 2 weeks with no location,Order Tracking,Medium,Order Tracking | Medium
Received tracking email but order shows 'unfulfilled',Order Tracking,High,Order Tracking | High
Carrier claims package delivered but security cameras show nothing,Order Tracking,Immediate,Order Tracking | Immediate
Tracking shows 'delivered to agent' but no agent exists,Order Tracking,High,Order Tracking | High
Multiple packages merged under one tracking without notice,Order Tracking,Medium,Order Tracking | Medium
Tracking status in app contradicts carrier website,Order Tracking,High,Order Tracking | High
Delivery date passed with no tracking updates,Order Tracking,Immediate,Order Tracking | Immediate
Tracking shows 'held at location' but no location given,Order Tracking,High,Order Tracking | High
Package scanned as 'delivered' 24 hours before actual delivery,Order Tracking,Medium,Order Tracking | Medium
International tracking stops at border crossing,Order Tracking,High,Order Tracking | High
Order marked 'complete' but never shipped,Order Tracking,Immediate,Order Tracking | Immediate
Tracking shows 'returned' but customer didn't request return,Order Tracking,High,Order Tracking | High
Carrier website shows different weight than ordered item,Order Tracking,Medium,Order Tracking | Medium
Delivery notification received for wrong address,Order Tracking,High,Order Tracking | High
Tracking shows 'damaged' but no contact from carrier,Order Tracking,Immediate,Order Tracking | Immediate
Package scanned at same location 5 days in a row,Order Tracking,Medium,Order Tracking | Medium
Express shipping shows no better progress than standard,Order Tracking,High,Order Tracking | High
Tracking number recycled from previous order,Order Tracking,Medium,Order Tracking | Medium
Delivery timeframe window missed by 3+ days,Order Tracking,High,Order Tracking | High
Tracking shows 'weather delay' but no weather issues,Order Tracking,Immediate,Order Tracking | Immediate
Signature confirmation required but driver didn't collect,Order Tracking,High,Order Tracking | High
Package dimensions in tracking don't match order,Order Tracking,Medium,Order Tracking | Medium
Tracking shows 'delivered to mailbox' but no mailbox exists,Order Tracking,High,Order Tracking | High
Order status changed from 'delivered' back to 'in transit',Order Tracking,Immediate,Order Tracking | Immediate
Carrier claims 'business closed' but business was open,Order Tracking,High,Order Tracking | High
Tracking shows 'delivered to front door' for apartment building,Order Tracking,Medium,Order Tracking | Medium
Delivery exception for 'invalid address' but address is correct,Order Tracking,High,Order Tracking | High
Package shows 'out for delivery' in wrong timezone,Order Tracking,Immediate,Order Tracking | Immediate
Tracking updates only show country-level location,Order Tracking,Medium,Order Tracking | Medium
Delivery notification came 2 days after actual delivery,Order Tracking,High,Order Tracking | High
Tracking shows 'pending' but customer received item,Order Tracking,Medium,Order Tracking | Medium
Carrier marked package 'undeliverable' without attempt,Order Tracking,High,Order Tracking | High
Order status says 'shipped' but no tracking available,Order Tracking,Immediate,Order Tracking | Immediate
Tracking shows 'delivered to parcel locker' but no code provided,Order Tracking,High,Order Tracking | High
Package scanned at destination facility then disappeared,Order Tracking,Medium,Order Tracking | Medium
Delivery timeframe promised by merchant doesn't match carrier,Order Tracking,High,Order Tracking | High
Tracking shows 'in transit' but carrier confirms lost,Order Tracking,Immediate,Order Tracking | Immediate
Signature required but package left with unauthorized person,Order Tracking,High,Order Tracking | High
Tracking shows 'delivered' but recipient was on vacation,Order Tracking,Medium,Order Tracking | Medium
Multiple tracking numbers for single order don't correlate,Order Tracking,High,Order Tracking | High
Carrier attempted delivery outside business hours,Order Tracking,Immediate,Order Tracking | Immediate
